source,target,best_lag,lag_correlation,lag_strength,source_name,target_name,source_sector,target_sector
CL=F,HDFCBANK.NS,2,-0.05919929935613271,0.05919929935613271,Crude Oil,HDFC Bank,Energy,Banking
CL=F,HINDUNILVR.NS,1,-0.129873216294936,0.129873216294936,Crude Oil,Hindustan Unilever,Energy,FMCG
CL=F,ICICIBANK.NS,3,-0.03909743907749845,0.03909743907749845,Crude Oil,ICICI Bank,Energy,Banking
CL=F,INFY.NS,1,0.056593866315921594,0.056593866315921594,Crude Oil,Infosys,Energy,IT
CL=F,INR=X,1,0.09574774649063952,0.09574774649063952,Crude Oil,USD/INR,Energy,Macro
CL=F,ITC.NS,4,0.028520074198694723,0.028520074198694723,Crude Oil,ITC,Energy,FMCG
CL=F,M&M.NS,4,-0.04567329116388144,0.04567329116388144,Crude Oil,Mahindra & Mahindra,Energy,Auto
CL=F,MARUTI.NS,1,-0.050504383716539376,0.050504383716539376,Crude Oil,Maruti Suzuki,Energy,Auto
CL=F,ONGC.NS,1,0.24724715493481883,0.24724715493481883,Crude Oil,ONGC,Energy,Energy
CL=F,RELIANCE.NS,1,0.07895801108287924,0.07895801108287924,Crude Oil,Reliance,Energy,Energy
CL=F,SBIN.NS,1,0.018469634866349498,0.018469634866349498,Crude Oil,SBI,Energy,Banking
CL=F,SUNPHARMA.NS,5,0.04215731805388332,0.04215731805388332,Crude Oil,Sun Pharma,Energy,Pharma
CL=F,TCS.NS,2,-0.034837232885055,0.034837232885055,Crude Oil,TCS,Energy,IT
CL=F,TMPV.NS,1,0.04497209998375029,0.04497209998375029,Crude Oil,Tata Motors Passenger Vehicles,Energy,Auto
CL=F,WIPRO.NS,1,0.07607965248897668,0.07607965248897668,Crude Oil,Wipro,Energy,IT
CL=F,^NSEBANK,2,-0.03961806503259023,0.03961806503259023,Crude Oil,Bank Nifty,Energy,Banking
CL=F,^NSEI,2,-0.04074630654178154,0.04074630654178154,Crude Oil,NIFTY 50,Energy,Market
DLF.NS,AXISBANK.NS,2,0.039328046489244484,0.039328046489244484,DLF,Axis Bank,Realty,Banking
DLF.NS,BAJAJFINSV.NS,4,0.029319197756153263,0.029319197756153263,DLF,Bajaj Finserv,Realty,NBFC
DLF.NS,BAJFINANCE.NS,1,-0.022503363018547266,0.022503363018547266,DLF,Bajaj Finance,Realty,NBFC
DLF.NS,CL=F,3,-0.027146345846622053,0.027146345846622053,DLF,Crude Oil,Realty,Energy
DLF.NS,DRREDDY.NS,3,0.030852915998215474,0.030852915998215474,DLF,Dr Reddy's,Realty,Pharma
DLF.NS,GC=F,5,-0.027087979734533994,0.027087979734533994,DLF,Gold,Realty,Safe Haven
DLF.NS,GODREJPROP.NS,1,0.07217313824160818,0.07217313824160818,DLF,Godrej Properties,Realty,Realty
DLF.NS,HCLTECH.NS,3,-0.042440759815663594,0.042440759815663594,DLF,HCL Tech,Realty,IT
DLF.NS,HDFCBANK.NS,5,-0.04834676616279824,0.04834676616279824,DLF,HDFC Bank,Realty,Banking
DLF.NS,HINDUNILVR.NS,3,-0.02574302588312463,0.02574302588312463,DLF,Hindustan Unilever,Realty,FMCG
DLF.NS,ICICIBANK.NS,2,-0.0343852994695474,0.0343852994695474,DLF,ICICI Bank,Realty,Banking
DLF.NS,INFY.NS,3,-0.03588099150595827,0.03588099150595827,DLF,Infosys,Realty,IT
DLF.NS,INR=X,1,-0.12888696595344631,0.12888696595344631,DLF,USD/INR,Realty,Macro
DLF.NS,ITC.NS,4,0.039144395509893924,0.039144395509893924,DLF,ITC,Realty,FMCG
