source,target,ml_importance,source_name,target_name
M&M.NS,BAJFINANCE.NS,0.02724785027380992,Mahindra & Mahindra,Bajaj Finance
^NSEI,SBIN.NS,0.027246958158383024,NIFTY 50,SBI
WIPRO.NS,HINDUNILVR.NS,0.02722648298631152,Wipro,Hindustan Unilever
WIPRO.NS,TMPV.NS,0.027162748355535168,Wipro,Tata Motors Passenger Vehicles
CL=F,SUNPHARMA.NS,0.027101361491297698,Crude Oil,Sun Pharma
BAJFINANCE.NS,CL=F,0.027011807453451758,Bajaj Finance,Crude Oil
ICICIBANK.NS,HINDUNILVR.NS,0.027005619731364224,ICICI Bank,Hindustan Unilever
INR=X,TCS.NS,0.02694401308572577,USD/INR,TCS
BAJAJFINSV.NS,WIPRO.NS,0.02690896857426675,Bajaj Finserv,Wipro
DRREDDY.NS,M&M.NS,0.02683897718961148,Dr Reddy's,Mahindra & Mahindra
TCS.NS,M&M.NS,0.026814148902363572,TCS,Mahindra & Mahindra
SBIN.NS,AXISBANK.NS,0.02680504236694958,SBI,Axis Bank
BAJAJFINSV.NS,GC=F,0.02674429833200488,Bajaj Finserv,Gold
BAJFINANCE.NS,INR=X,0.026703084833281585,Bajaj Finance,USD/INR
HCLTECH.NS,WIPRO.NS,0.026684924942412785,HCL Tech,Wipro
GC=F,ITC.NS,0.026619203499347047,Gold,ITC
SBIN.NS,INFY.NS,0.026608298364389795,SBI,Infosys
HDFCBANK.NS,GODREJPROP.NS,0.026576333530308586,HDFC Bank,Godrej Properties
WIPRO.NS,TCS.NS,0.026547310764508426,Wipro,TCS
TCS.NS,TMPV.NS,0.026477102997059927,TCS,Tata Motors Passenger Vehicles
DRREDDY.NS,HINDUNILVR.NS,0.026457961449965414,Dr Reddy's,Hindustan Unilever
WIPRO.NS,SUNPHARMA.NS,0.026445746393167956,Wipro,Sun Pharma
GC=F,RELIANCE.NS,0.02644315296394185,Gold,Reliance
BAJAJFINSV.NS,TMPV.NS,0.026428649221016016,Bajaj Finserv,Tata Motors Passenger Vehicles
BAJAJFINSV.NS,BAJFINANCE.NS,0.026322923404953763,Bajaj Finserv,Bajaj Finance
GODREJPROP.NS,ITC.NS,0.026316246914257088,Godrej Properties,ITC
AXISBANK.NS,SBIN.NS,0.02630850131833722,Axis Bank,SBI
DLF.NS,TCS.NS,0.02629629070920057,DLF,TCS
ICICIBANK.NS,DRREDDY.NS,0.026281325540983926,ICICI Bank,Dr Reddy's
TCS.NS,ICICIBANK.NS,0.026238107638712985,TCS,ICICI Bank
M&M.NS,GODREJPROP.NS,0.02601797090000276,Mahindra & Mahindra,Godrej Properties
BAJFINANCE.NS,ITC.NS,0.026009544524919378,Bajaj Finance,ITC
RELIANCE.NS,MARUTI.NS,0.02598686797151991,Reliance,Maruti Suzuki
TMPV.NS,ONGC.NS,0.025845954183346703,Tata Motors Passenger Vehicles,ONGC
^NSEI,SUNPHARMA.NS,0.025747978501235204,NIFTY 50,Sun Pharma
^NSEI,ITC.NS,0.025745227973002514,NIFTY 50,ITC
BAJAJFINSV.NS,HCLTECH.NS,0.025735429622654665,Bajaj Finserv,HCL Tech
ITC.NS,ONGC.NS,0.02571246419022934,ITC,ONGC
^NSEBANK,DLF.NS,0.025690917368297834,Bank Nifty,DLF
